symbol,shortName,price,changePct,volume
FUTU,Futu Holdings Limited,89.76,-27.53,61357709
CAE,CAE Inc.,23.16,-14.03,4577952
GKOS,Glaukos Corporation,120.23,-13.52,2709779
FRVO,Fervo Energy Company,38.35,-9.76,3402381
CBRS,Cerebras Systems Inc.,256.78,-8.9,11783761
BJ,"BJ's Wholesale Club Holdings, I",86.64,-8.25,6819078
TLX,Telix Pharmaceuticals Limited,9.47,-7.79,258615
TE,T1 Energy Inc.,8.08,-7.34,61920045
BW,"Babcock & Wilcox Enterprises, I",19.04,-7.3,3247741
NIO,NIO Inc.,5.2,-7.14,87510267
IBRX,"ImmunityBio, Inc.",7.22,-6.72,17939227
BULL,Webull Corporation,6.18,-6.51,27372804
TNGX,"Tango Therapeutics, Inc.",20.24,-6.38,1651416
XP,XP Inc.,16.82,-6.14,7863478
BBAR,Banco BBVA Argentina S.A.,15.28,-6.03,518585
